Nume,CodFiscal,Judet,Telefon,CodCAEN2021,DescriereCodCAEN2021,Ratio2021,Ratio2020,Ratio2019,Ratio2018,CifraDeAfaceriNetaRON2021,ProfitNetRON2021,CotaDePiata2021,Salariati2020,CifraDeAfaceriNetaRON2020,ProfitNetRON2020,CotaDePiata2020,CodCAEN2020,DescriereCodCAEN2020,Salariati2019,CifraDeAfaceriNetaRON2019,ProfitNetRON2019,CotaDePiata2019,CodCAEN2019,DescriereCodCAEN2019,Salariati2018,CifraDeAfaceriNetaRON2018,ProfitNetRON2018,CotaDePiata2018,CodCAEN2018,DescriereCodCAEN2018
S.C. MODENT CLINIC JUNIOR SRL,40544192,SIBIU,0745654466,8623,Activitati de asistenta stomatologica,0.28666302765647744,0.27971784526004007,0.05726592609385627,nan,395712,113436,0.01%,3.0,175223.0,49013.0,0.01%,8623.0,Activitati de asistenta stomatologica,1.0,44110.0,2526.0,0%,8623.0,Activitati de asistenta stomatologica,nan,nan,nan,nan,nan,nan
S.C. LOMYL ENDO PRACTICE SRL,40544230,SIBIU,0745644499,8623,Activitati de asistenta stomatologica,0.2807891258872852,0.2177149721123463,0.14663200723327305,nan,228506,64162,0.01%,3.0,130703.0,28456.0,0%,8623.0,Activitati de asistenta stomatologica,1.0,44240.0,6487.0,0%,8623.0,Activitati de asistenta stomatologica,nan,nan,nan,nan,nan,nan
S.C. MALIN VLADIO MED S.R.L.,40594247,ALBA,-,8621,Activitati de asistenta medicala generala,0.2975475448872636,0.40059533549187903,nan,nan,564414,167940,0.04%,4.0,605037.0,242375.0,0.04%,8621.0,Activitati de asistenta medicala generala,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
TEST GAD AUTO SRL,40207227,ALBA,-,8553,Scoli de conducere (pilotaj),0.030794297352342157,0.1720851818988465,0.0,nan,171850,5292,0.04%,1.0,112700.0,19394.0,0.03%,8553.0,Scoli de conducere (pilotaj),2.0,29750.0,0.0,0.01%,8553.0,Scoli de conducere (pilotaj),nan,nan,nan,nan,nan,nan
DABO HERMANNSTADT SRL,40297521,SIBIU,-,8292,Activitati de ambalare,0.05906510485901506,0.0,nan,nan,959145,56652,0.15%,5.0,345517.0,0.0,0.05%,8292.0,Activitati de ambalare,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AMINOAGAN S.R.L.,40532805,SIBIU,0740020237,8130,Activitati de întretinere peisagistica,0.27675233927319326,0.022332198830892287,0.0,nan,206795,57231,0.02%,5.0,169531.0,3786.0,0.01%,8130.0,Activitati de întretinere peisagistica,5.0,26900.0,0.0,0%,8130.0,Activitati de întretinere peisagistica,nan,nan,nan,nan,nan,nan
CAMINSIGUR.RO SRL,40532783,SIBIU,0749469739,8122,"ctivitati specializate de curatenie a cladirilor, mijloacelor de transport, masini si utilaje ",0.07668428249380982,0.0,0.0,nan,270590,20750,0.09%,5.0,154129.0,0.0,0.05%,8122.0,"ctivitati specializate de curatenie a cladirilor, mijloacelor de transport, masini si utilaje ",5.0,21520.0,0.0,0.01%,8122.0,"ctivitati specializate de curatenie a cladirilor, mijloacelor de transport, masini si utilaje ",nan,nan,nan,nan,nan,nan
ADMIN MOTU SRL,37594093,ALBA,0742219685,8121,Activitati generale (nespecializate) de curatenie interioara a cladirilor,0.5488882406000919,0.39788190608426316,0.7324658499367251,0.842203772777711,298221,163690,0.02%,5.0,299609.0,119209.0,0.02%,8121.0,Activitati generale (nespecializate) de curatenie interioara a cladirilor,3.0,299487.0,219364.0,0.02%,8121.0,Activitati generale (nespecializate) de curatenie interioara a cladirilor,2.0,299196.0,251984.0,0.02%,8121.0,Activitati generale (nespecializate) de curatenie interioara a cladirilor
DIRTBUSTERS PRECISION SRL,40271726,HARGHITA,0746488470,8121,Activitati generale (nespecializate) de curatenie interioara a cladirilor,0.08876308294455802,0.5615717834320054,1.6935426750088538,0.9065989847715736,286155,25400,0.02%,7.0,246777.0,138583.0,0.02%,8121.0,Activitati generale (nespecializate) de curatenie interioara a cladirilor,4.0,144007.0,243882.0,0.01%,8121.0,Activitati generale (nespecializate) de curatenie interioara a cladirilor,0.0,4925.0,4465.0,0%,8121.0,Activitati generale (nespecializate) de curatenie interioara a cladirilor
ALEXMAR MEGA CLEAN,38057349,SIBIU,-,8121,Activitati generale (nespecializate) de curatenie interioara a cladirilor,0.0215302181552486,nan,0.5698044121068265,0.6819568207643083,287410,6188,0.02%,nan,nan,nan,nan,nan,nan,3.0,296593.0,169000.0,0.02%,8121.0,Activitati generale (nespecializate) de curatenie interioara a cladirilor,3.0,234094.0,159642.0,0.02%,8121.0,Activitati generale (nespecializate) de curatenie interioara a cladirilor
LEREROWORLD SRL,40601760,SIBIU,0745524714,7490,"Alte activitati profesionale, stiintifice si tehnice n.c.a.",0.14244503432720124,0.2087835737662955,0.04479775489377493,nan,486349,69278,0.02%,5.0,328158.0,68514.0,0.02%,7490.0,"Alte activitati profesionale, stiintifice si tehnice n.c.a.",1.0,86232.0,3863.0,0%,7490.0,"Alte activitati profesionale, stiintifice si tehnice n.c.a.",nan,nan,nan,nan,nan,nan
WOLFSFILMART SRL-D,37852915,SIBIU,0746361658,7420,Activitati fotografice,0.25137811478885536,0.0,0.33871272178180445,0.4507331780183637,40091,10078,0.01%,5.0,40917.0,0.0,0.01%,7420.0,Activitati fotografice,4.0,42384.0,14356.0,0.01%,7420.0,Activitati fotografice,0.0,29188.0,13156.0,0.01%,7420.0,Activitati fotografice
TERRA CAD MAP SRL-D,38565924,SIBIU,0746115287,7112,Activitati de inginerie si consultanta tehnica legate de acestea,0.05477269520187186,0.08840285436737198,0.0,0.2507993941433861,609446,33381,0.01%,6.0,273826.0,24207.0,0%,7112.0,Activitati de inginerie si consultanta tehnica legate de acestea,6.0,183542.0,0.0,0%,7112.0,Activitati de inginerie si consultanta tehnica legate de acestea,5.0,166376.0,41727.0,0%,7112.0,Activitati de inginerie si consultanta tehnica legate de acestea
SC AIR TOP PROIECT SRL,40213539,ALBA,-,7112,Activitati de inginerie si consultanta tehnica legate de acestea,0.19399445788193526,0.26627793085140467,0.0,0.966375,295194,57266,0%,5.0,218486.0,58178.0,0%,7112.0,Activitati de inginerie si consultanta tehnica legate de acestea,3.0,47000.0,0.0,0%,7112.0,Activitati de inginerie si consultanta tehnica legate de acestea,0.0,16000.0,15462.0,0%,7112.0,Activitati de inginerie si consultanta tehnica legate de acestea
ATC OFERTARE TEAM SRL,40376498,ALBA,-,7112,Activitati de inginerie si consultanta tehnica legate de acestea,0.28932142857142856,0.09001696352841392,0.0024024640657084187,nan,280000,81010,0%,4.0,235800.0,21226.0,0%,7112.0,Activitati de inginerie si consultanta tehnica legate de acestea,3.0,48700.0,117.0,0%,7112.0,Activitati de inginerie si consultanta tehnica legate de acestea,nan,nan,nan,nan,nan,nan
