Nume,CodFiscal,Judet,Telefon,CifraDeAfaceriNetaRON2021,ProfitNetRON2021,CotaDePiata2021,CodCAEN2021,DescriereCodCAEN2021,Salariati2020,CifraDeAfaceriNetaRON2020,ProfitNetRON2020,CotaDePiata2020,CodCAEN2020,DescriereCodCAEN2020,Salariati2019,CifraDeAfaceriNetaRON2019,ProfitNetRON2019,CotaDePiata2019,CodCAEN2019,DescriereCodCAEN2019,Salariati2018,CifraDeAfaceriNetaRON2018,ProfitNetRON2018,CotaDePiata2018,CodCAEN2018,DescriereCodCAEN2018
S.C. CHS CONSTRUCTII CIVILE S.R.L.,40531974,BRAŞOV,-,112000,0,0.03%,4339,Alte lucrari de finisare,4.0,65546.0,0.0,0.02%,4339.0,Alte lucrari de finisare,1.0,49227.0,20458.0,0.01%,4339.0,Alte lucrari de finisare,nan,nan,nan,nan,nan,nan
LIBERTY CLEAN SRL,40532147,BRAŞOV,-,25995,0,0%,6020,Activitati de difuzare a programelor de televiziune,5.0,130780.0,0.0,0.01%,6020.0,Activitati de difuzare a programelor de televiziune,0.0,50891.0,0.0,0%,6020.0,Activitati de difuzare a programelor de televiziune,nan,nan,nan,nan,nan,nan
S.C.TOP SLIM EFECT SRL,40532139,BRAŞOV,0723295466,292424,40697,0.09%,9604,Activitati de întretinere corporala,6.0,271637.0,84454.0,0.09%,9604.0,Activitati de întretinere corporala,4.0,94605.0,37414.0,0.03%,9604.0,Activitati de întretinere corporala,nan,nan,nan,nan,nan,nan
IL GELATO DI GIANFRANCO SRL,40532660,SIBIU,-,242489,0,0.06%,1052,Fabricarea înghetatei,4.0,0.0,0.0,0%,1052.0,Fabricarea înghetatei,0.0,1000.0,558.0,0%,1052.0,Fabricarea înghetatei,nan,nan,nan,nan,nan,nan
JOU PARTNERS S.R.L.,40532775,SIBIU,0749201725,1451036,326612,0.01%,5610,Restaurante,7.0,431951.0,7043.0,0%,5610.0,Restaurante,3.0,220098.0,77041.0,0%,5610.0,Restaurante,nan,nan,nan,nan,nan,nan
AMINOAGAN S.R.L.,40532805,SIBIU,0740020237,206795,57231,0.02%,8130,Activitati de întretinere peisagistica,5.0,169531.0,3786.0,0.01%,8130.0,Activitati de întretinere peisagistica,5.0,26900.0,0.0,0%,8130.0,Activitati de întretinere peisagistica,nan,nan,nan,nan,nan,nan
CAMINSIGUR.RO SRL,40532783,SIBIU,0749469739,270590,20750,0.09%,8122,"ctivitati specializate de curatenie a cladirilor, mijloacelor de transport, masini si utilaje ",5.0,154129.0,0.0,0.05%,8122.0,"ctivitati specializate de curatenie a cladirilor, mijloacelor de transport, masini si utilaje ",5.0,21520.0,0.0,0.01%,8122.0,"ctivitati specializate de curatenie a cladirilor, mijloacelor de transport, masini si utilaje ",nan,nan,nan,nan,nan,nan
S.C.DYV EXCAVATOARE SRL,40532767,SIBIU,0756-969032,185661,7846,0.01%,4312,Lucrari de pregatire a terenului,4.0,190090.0,12350.0,0.01%,4312.0,Lucrari de pregatire a terenului,3.0,38530.0,0.0,0%,4312.0,Lucrari de pregatire a terenului,nan,nan,nan,nan,nan,nan
HANKA CONS SRL,40535232,COVASNA,0755398369,224782,2556,0%,4120,Lucrari de constructie a cladirilor rezidentiale si nerezidentiale,3.0,70865.0,3619.0,0%,4120.0,Lucrari de constructie a cladirilor rezidentiale si nerezidentiale,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AURORA EVENTS SRL,40535216,COVASNA,-,248940,31102,0.06%,8230,"Activitati de organizare a expozitiilor, târgurilor si congreselor",2.0,75020.0,0.0,0.02%,8230.0,"Activitati de organizare a expozitiilor, târgurilor si congreselor",0.0,0.0,0.0,0%,8230.0,"Activitati de organizare a expozitiilor, târgurilor si congreselor",nan,nan,nan,nan,nan,nan
